round,p1_gesture,p2_gesture,p1_hp,p2_hp,result,timestamp
0,Unknown,Unknown,3,3,Round skipped — gesture not recognised.,1773508318.498
0,Unknown,Unknown,3,3,Round skipped — gesture not recognised.,1773508325.58
0,Unknown,Unknown,3,3,Round skipped — gesture not recognised.,1773508332.649
1,Attack,Heal,3,2,P1 Attacks P2 mid-heal! P2 -1 HP.,1773508339.736
1,Defend,Unknown,3,2,Round skipped — gesture not recognised.,1773508346.879
2,Defend,Attack,3,2,P2 Attacks — P1 Defends! Blocked.,1773508353.965
2,Defend,Unknown,3,2,Round skipped — gesture not recognised.,1773508361.078
3,Defend,Heal,3,3,P1 Defends. P2 Heals. P2 +1 HP.,1773508368.235
4,Attack,Attack,2,2,Both Attack! Both lose 1 HP.,1773508375.348
5,Attack,Attack,1,1,Both Attack! Both lose 1 HP.,1773508382.442
6,Attack,Attack,0,0,Both Attack! Both lose 1 HP.,1773508389.623
